id,rutenavn,rutenummer,merking,skilting,sesong,gradering,ruteFølger,tilpasning,informasjon,spesialFotrutetype,underlagstype,opphav,meter,geometry
287,Hjerkinn stasjon-Hageseter,['ron28'],JA,,,,ST,,"Geometri hentet fra Vbase, 20170706",,,Nasjonalt pilegrimssenter,3496.4531882142464,"[[9.552188246107061, 62.20596807156778], [9.552194083091235, 62.20601149844004], [9.552212770681603, 62.2060563315276], [9.552239949579922, 62.20609789940203], [9.552288823235358, 62.20613672223083], [9.55236815225418, 62.206177644800306], [9.552123246957015, 62.206162506658316], [9.551986698823782, 62.20625162013707], [9.551935702624792, 62.206300277324765], [9.551850480640745, 62.20635703534339], [9.551764263211533, 62.20637343696639], [9.551541119849789, 62.206446899030375], [9.551438639307277, 62.20651170618968], [9.551268689939711, 62.2066736577239], [9.550945386932506, 62.206940888322066], [9.550997877462923, 62.206981024058614], [9.551103787803639, 62.20710947868149], [9.551175611235388, 62.207262328231], [9.55122956958858, 62.207366867145595], [9.551316858444322, 62.20741494342585], [9.551404257516138, 62.207470943424774], [9.551543520947941, 62.20752682702092], [9.551734224474814, 62.20755827906212], [9.551890743337495, 62.20762213161132], [9.552012925657642, 62.20768616109345], [9.55213476145514, 62.20773397795954], [9.552204623007084, 62.20777398756336], [9.552291188056248, 62.207789816944015], [9.552326806605546, 62.20783801678159], [9.55236223390019, 62.20788620907226], [9.552432251932716, 62.20794242354353], [9.552502130499532, 62.20798234364851], [9.55258905972972, 62.20801429600817], [9.55271051813204, 62.20804607859034], [9.552797655279486, 62.208077949003936], [9.553024769974607, 62.20821405592936], [9.55319902710003, 62.208293904408386], [9.553216915490973, 62.20832610671093], [9.553372905168416, 62.20835771887602], [9.553616206787314, 62.20843731640938], [9.553722057494468, 62.20854164797138], [9.554034310211964, 62.20861298105304], [9.55408834052752, 62.20874172955508], [9.554211087670245, 62.208821887889144], [9.5542463438421, 62.208869982845], [9.554281680814148, 62.208910161553135], [9.554317476761465, 62.2089744765484], [9.554387152678284, 62.209014477573255], [9.554509537266732, 62.209078512499296], [9.5545617663319, 62.20911053694138], [9.554858227341898, 62.20925441067729], [9.554894024896983, 62.20931872553948], [9.555051002888034, 62.20940680033491], [9.55515584615133, 62.209470863885024], [9.555329039427466, 62.20948623222659], [9.55539981256647, 62.20957460226073], [9.55541770401075, 62.20960680430927], [9.555418686067721, 62.20966326876099], [9.555419432027698, 62.209695425731326], [9.555472471700297, 62.20976779867292], [9.555630659772397, 62.20991216612475], [9.555700974773789, 62.20997639972123], [9.555858166006258, 62.21006439183567], [9.555911588647326, 62.21015279843258], [9.55596536064895, 62.210257417534905], [9.556035328042716, 62.21030543845263], [9.556037041675973, 62.21039414924018], [9.556089734862683, 62.21045030944704], [9.556177708137655, 62.210522437309486], [9.556248643884665, 62.21062701194596], [9.556353414906665, 62.21068297216104], [9.556371768456012, 62.210739310404804], [9.55649370241019, 62.210795226126976], [9.556580373561696, 62.21081906607775], [9.556667062060361, 62.21082679787491], [9.556702578642094, 62.210883091652455], [9.556824355666278, 62.210922802103084], [9.556877766417102, 62.21101129772643], [9.556845585072177, 62.211140431192014], [9.556811974164814, 62.21118887451953], [9.556766441751911, 62.21152752654122], [9.556632024583012, 62.211745688998], [9.55644581383271, 62.21195605317867], [9.556326335298857, 62.212037023862045], [9.556258728116893, 62.212117876402836], [9.556242532356405, 62.2121744745816], [9.55622700304438, 62.21227114597117], [9.556159839179966, 62.21237622411053], [9.556057236502847, 62.212433110769965], [9.555868781672263, 62.21252243515846], [9.555766256707015, 62.21258742408292], [9.555751090638779, 62.21270021855871], [9.5556653793773, 62.21274895057539], [9.555649040794409, 62.212789254323525], [9.555221642228323, 62.21304888808845], [9.555051327840184, 62.21317861275586], [9.554948718260503, 62.213251517267466], [9.554845953275137, 62.21329219798799], [9.554847028685382, 62.213356675549065], [9.554645050882755, 62.21340982875408], [9.554560237586976, 62.21350692197693], [9.554406196243184, 62.2135881503468], [9.55428651665482, 62.21365309286814], [9.554167009330612, 62.21373415089893], [9.554047058954145, 62.213790983176075], [9.553927456035252, 62.213864027856424], [9.553859015735775, 62.21390461966136], [9.551954432220512, 62.21465367892287], [9.550958784232902, 62.215036435875454], [9.550873095126445, 62.215068967341836], [9.550701757070406, 62.21515833000547], [9.550599512994024, 62.21523124617788], [9.55054805912909, 62.21525567700936], [9.550220806470096, 62.215321347129446], [9.550153521137801, 62.21541840890746], [9.549894962813523, 62.21546770643165], [9.549724002423417, 62.21555708291173], [9.549414085053185, 62.21562280442954], [9.549345366269671, 62.215655283869154], [9.549311644869132, 62.21569571205396], [9.549277638818815, 62.21572811956733], [9.549174666382646, 62.21576878835193], [9.54893329013266, 62.21580193251091], [9.54881357382235, 62.2158669594232], [9.548143440346294, 62.216095228662645], [9.547766503316014, 62.216266027710354], [9.546467207932661, 62.21802800305421], [9.546370841641043, 62.21799054573686], [9.546278822600726, 62.2179961869154], [9.546140667480621, 62.21800747839277], [9.546060007234855, 62.21801320733119], [9.545805789987774, 62.21797123520641], [9.545355396083204, 62.21791387681037], [9.54526335799667, 62.21791429690054], [9.544869396738054, 62.217797606364], [9.544707563542527, 62.21777142490268], [9.544350275575122, 62.21776741204409], [9.544258062705218, 62.21776773456406], [9.544188804576795, 62.21776266286999], [9.544142711570364, 62.21775742495948], [9.544038568175727, 62.217730998414375], [9.543957010300531, 62.21769376345238], [9.543783102613821, 62.21763524660535], [9.542285711645356, 62.21895209396455], [9.542036603100957, 62.21919487887811], [9.541835889853584, 62.21957708463263], [9.541760000795321, 62.21983534386051], [9.541567487819274, 62.22003491431519]]"
515,Natur- og kultursti Hageseter - Hjerkinn,"['PILEGRIM04', 'F_20160101', 'F_20110917']",JA,True,,,ST,,"Geometri hentet fra Elveg, 20230621",['HF'],,Nasjonalt pilegrimssenter,11652.332459009083,"[[9.568286912158005, 62.21863350801056], [9.568367719850695, 62.21859591473432], [9.568532186465514, 62.21852308982002], [9.568725051345092, 62.21844031077514], [9.568859115231808, 62.21838213034996], [9.569062806085803, 62.21830238573394], [9.569201747646515, 62.2182460163833], [9.569354144560403, 62.21817595643206], [9.56944928404542, 62.218133705738566], [9.56950477299131, 62.21809430791652], [9.56953420663654, 62.218027249494355], [9.569563427024383, 62.21794425410101], [9.569608296937773, 62.21789103053082], [9.569699199912757, 62.21782413553721], [9.569791008020017, 62.2177693349639], [9.569877908694357, 62.21773000029922], [9.570040581684186, 62.21766601262359], [9.570150954433837, 62.21762372958301], [9.570254857377073, 62.21757669288902], [9.570402547562594, 62.21748349922313], [9.570480057348231, 62.21743956596932], [9.570551679554343, 62.21740584064227], [9.570633626722975, 62.217380079891484], [9.570727176254753, 62.21736161390225], [9.570912379067906, 62.21733306655818], [9.571016769686214, 62.21730899644118], [9.571146413295946, 62.21726566922201], [9.57127072525835, 62.21722411245679], [9.571470291219235, 62.217151132176554], [9.571648377960738, 62.21709143740032], [9.571765354921746, 62.21704671262329], [9.571911636159737, 62.216982709614314], [9.572053374139507, 62.216916098397945], [9.57213666375873, 62.21688714980479]]"
605,Rondvassbu - Rondablikk,"['ron12', 'ron10', 'ron8', 'ron18', 'ron11', 'ron17', 'ron14']",JA,,,,BV,,"Geometri hentet fra Vbase, 20170807",,,N50-kartdata,28721.60428556784,"[[9.722918505812158, 61.75388056083889], [9.72264143800755, 61.75386780583472], [9.721738305942473, 61.75384268937897]]"
