,rutenavn,rutenummer,merking,rutetype,informasjon,geometry
21,['Ukjent'],['osl'],JA,,,"LINESTRING (10.621635920083698 59.985558156174534, 10.621524454461559 59.98465728611014, 10.621519173387801 59.98458963363742, 10.621501537187541 59.984361012349915, 10.621494608890274 59.98427434021724, 10.621489489514614 59.98420632651148, 10.621486394121204 59.984143047918245, 10.621490386383458 59.984048787357416)"
22,['Smestad - Bestumkilen'],['A5'],JA,,"Geometri hentet fra Vbase, 20180604","LINESTRING (10.67713636997518 59.92580969098524, 10.67713889925588 59.925834986020185, 10.677139702982275 59.92584027475177, 10.677144276469084 59.92587416581344, 10.677154450384242 59.925926846326924, 10.677181060468861 59.92601802709328, 10.677216268846417 59.92609877001869, 10.677249422758434 59.926142356575966)"
23,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.89653356249361 59.90473914813449, 10.896524100588506 59.90485541945701, 10.89649663855928 59.90493826790314, 10.896452069176597 59.90508486409781)"
24,['Ukjent'],['osl'],JA,,,"LINESTRING (10.628495976827764 60.06865405339357, 10.62848876927971 60.06863177948662, 10.628617837623205 60.06833390721478, 10.628668866679861 60.06827553100665, 10.628681739288304 60.068204961511924, 10.628687426834604 60.06817453571974, 10.628605623157917 60.068082500118535, 10.628550610684831 60.06803090823693, 10.628530071947841 60.06801158260826, 10.628234055020599 60.068006516062496, 10.628217511592085 60.06800627070156)"
25,"['Ukjent', 'Ukjent']","['osl22', 'osl81']",JA,,,"LINESTRING (10.67617466834978 60.07739425855009, 10.677161789655749 60.07630383504922, 10.677552766805416 60.075158457718715, 10.677673656217827 60.075058042509056, 10.677921927341568 60.07499211520153, 10.678244599420022 60.074979129929055, 10.678332590214406 60.07499884952334, 10.678772043409309 60.075098171473, 10.679153040987432 60.07528849414914, 10.679472826804203 60.075448428647015, 10.679742706178455 60.075453982495326, 10.679963898323624 60.075392795992016, 10.680593440688899 60.075218647781654, 10.681650119624786 60.07499011926822, 10.68187340475007 60.07494192549723, 10.682391596151717 60.07478382370426, 10.682457433105688 60.07476376665196, 10.682700657481687 60.07459901250774, 10.68270417194824 60.07459744100604, 10.682840862942745 60.07453588767936, 10.683438550864784 60.07426630253708, 10.683790456516602 60.07421350448779, 10.68402696479102 60.07417807145331, 10.68469214225 60.07417840159696, 10.685568010076008 60.07428893597175, 10.685922189432913 60.074333548316204, 10.686316865449175 60.07431944577031, 10.686320752677718 60.07431813885128, 10.686364032665125 60.074303396853566, 10.686472147243096 60.07426663269573, 10.686477448408954 60.07426485868659, 10.686564192255968 60.074235462037876, 10.686638729398735 60.07417819992319, 10.687177856651362 60.07376214385483, 10.687179399740304 60.073760687191225, 10.687433958650711 60.073512344883774, 10.68747689991009 60.07337492476809)"
26,['Smestad - Bestumkilen'],['A5'],JA,,,"LINESTRING (10.67759941992663 59.92458719643627, 10.67759563008504 59.92460781178691, 10.677588785381307 59.92463879447651, 10.67758133215727 59.92467544311437, 10.67758053610514 59.9247270057937, 10.677594130198415 59.924780091834926, 10.677626626539594 59.92485673777741, 10.677647655021456 59.92489760449692, 10.677657894896546 59.92490906006565, 10.677630481027482 59.92493662213431, 10.677608761572586 59.92496357287122, 10.677542634021888 59.92503940787151, 10.677425076583821 59.92524477846786, 10.677380043059205 59.925334445639, 10.677372045720235 59.92536032364458)"
27,['Smestad - Bestumkilen'],['A5'],JA,,"Geometri hentet fra TraktorvegSti, 20180604","LINESTRING (10.676532270168416 59.928893280201144, 10.676607803289093 59.92888306916938, 10.676622346193083 59.92886276621517, 10.67664831538716 59.92883486352311, 10.67664898537847 59.92883395687717, 10.676657860494988 59.928821898940406, 10.676663928806487 59.92881095444333, 10.67667528886525 59.92878431524698, 10.676684583917233 59.92873803331637, 10.676686362634058 59.928723640662504, 10.676684879412365 59.928704888659446, 10.676683233556446 59.928697095878114, 10.6766741263637 59.928669100287394, 10.67666403232552 59.92864282368552, 10.676657261273276 59.92861857052536, 10.676656070355198 59.92860915533003, 10.676658063923476 59.92858838324021, 10.676663989395248 59.92857106385418, 10.676667918711626 59.928563828875035, 10.676677207906774 59.928549340727024, 10.676696302684839 59.92853059651517, 10.676732029688454 59.92850104291554, 10.676767516532903 59.92846673228404, 10.676781441157365 59.92844482054113, 10.676789111585407 59.92842307813576, 10.676789539079975 59.92841382198737, 10.676787734176093 59.92838869736996, 10.67678046286982 59.92836516907798, 10.676780331496156 59.92836256617891, 10.676764104438837 59.928303406291924, 10.676748524767909 59.92824289098002, 10.676740412401205 59.9281778798924, 10.676742997935671 59.92812629450076, 10.6767437931304 59.92807823457066, 10.676713730019538 59.92803918903719)"
28,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.882624797554085 59.919841691338846, 10.88264309361223 59.91981412544439, 10.88265465212356 59.91979078738249, 10.882657355083523 59.91976586924156, 10.882637008997609 59.91974145988437)"
29,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.870377793717942 59.91385048416052, 10.870412932074322 59.91382330975467, 10.87047609647242 59.91379196532296, 10.870543851985323 59.91375956771746, 10.870597818531518 59.9137300602782, 10.870651525447652 59.913699119418474, 10.870715252745947 59.91366507235087, 10.87078361851566 59.913627636170176, 10.870836881779347 59.91359517462822, 10.870885950394417 59.91355810208158, 10.870926112432906 59.91353121550111, 10.870972148865647 59.913500652824915, 10.871015472176078 59.9134727333523, 10.871053438838418 59.91344497971534, 10.871097632257053 59.91341345515886, 10.87113142883594 59.91339105992979, 10.87117029522016 59.91336976035474, 10.871211228522542 59.91335022777959, 10.8712991348202 59.91330407107507, 10.87134360194606 59.913283769749796, 10.871396713257495 59.91326451331877, 10.871454919612365 59.913246801247716, 10.871507251553572 59.91323276525868, 10.871578047158 59.91321945509336, 10.871627950874274 59.91320994441369, 10.871676704593288 59.91320224639638, 10.87171763321367 59.913198521630065, 10.871758792922725 59.91319254812855, 10.871778116244018 59.91316407100474, 10.871822815347263 59.9131129587668, 10.871844087480497 59.91308732812346, 10.871863617878597 59.913062530568425, 10.871888934775823 59.91303567485034, 10.871912871886677 59.91298431850298, 10.871913812792442 59.9129819698825, 10.871922405889542 59.91295669891176, 10.871925462367878 59.91292521932979, 10.871928358512557 59.91289724491282, 10.871926993498075 59.91288253420265)"
30,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.89385140886461 59.923319426706556, 10.893760397454681 59.92330474637593, 10.893676967380511 59.92330693270965, 10.893584594078265 59.923315444883656, 10.8934898141716 59.92331312356809)"
