,rutenavn,rutenummer,merking,rutetype,informasjon,geometry
540,['Smestad - Bestumkilen'],['A5'],JA,,"Geometri hentet fra TraktorvegSti, 20180604","LINESTRING (10.68055363863229 59.93652485712749, 10.680514415430341 59.936510178559374, 10.680513131594461 59.936509566228764, 10.680461591307571 59.9364919909546, 10.680438448763416 59.93648384342655, 10.680341148272237 59.93644619421638, 10.680303499148305 59.9364024860229, 10.680303467360542 59.93640185773882, 10.680297183153572 59.93637670042622, 10.680289226636868 59.9363574022459, 10.680287585828882 59.93634619655972)"
541,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.882460343043897 59.920042986168255, 10.882428654081505 59.92042785895124, 10.882337061008984 59.92102169488779, 10.882388999104387 59.921995386765715, 10.88258234265884 59.92285011670726, 10.882681053464896 59.92370494024843, 10.883205859718162 59.924630472565966, 10.88344507472073 59.92517638124886, 10.883307285933965 59.926031528606856, 10.882837185675868 59.92664954216326, 10.882507940308447 59.927053662837444, 10.882037443181765 59.92757674150531, 10.882146528388171 59.92784715252268)"
542,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.883954508605704 59.91820947718514, 10.883952899218736 59.91821264381062, 10.883939740209286 59.918251902644094, 10.883933851050942 59.91830264409394, 10.883944367847533 59.918343001671786, 10.883950982781162 59.918383953916276, 10.883954428804639 59.918413185302576, 10.883956011055675 59.918441096054885, 10.883955393066122 59.918464906627044, 10.883951072271465 59.91848966829333, 10.883943263023207 59.91851600671529, 10.883933986811199 59.91854802462706, 10.883928823130985 59.91857369651616, 10.883927187237203 59.91860479688263, 10.883930219807793 59.91863304618033, 10.88394016112906 59.91866640618629, 10.883960341296081 59.91870366167758, 10.883984184990988 59.91873296083739, 10.884001831206549 59.91875076205348, 10.884019088071785 59.918774317176315, 10.884030074177291 59.91879454883357, 10.884036162857365 59.91881359302942, 10.884036601479933 59.91884026267342, 10.8840415030633 59.918869922344605, 10.884051206106037 59.91889592068146, 10.884054167581363 59.91892291354205, 10.884053706718344 59.918952649848606, 10.884050509316374 59.9189782936408, 10.884039859058964 59.919011319191256, 10.884034562437458 59.91903780134378, 10.884028080702729 59.9190654680649, 10.88402585842866 59.91909253500638, 10.884018334703928 59.91912075552494, 10.884011209170746 59.91914968889545, 10.884006969745055 59.91917588648408, 10.88400789948798 59.91919859712135, 10.884005967202318 59.919230779536825, 10.884004750590323 59.919259808098715, 10.884004156724538 59.919290354664916, 10.884000810359566 59.9193196831159, 10.88399547228499 59.91934859094012, 10.8839941908668 59.919370165543484, 10.88399419056153 59.919395404371855, 10.883988241920282 59.9194135427753, 10.88397135956358 59.919428154893815, 10.88394775076394 59.91944403076538, 10.883927288928245 59.919455460586065, 10.883894984342803 59.91946310764893, 10.883862998604895 59.9194606007277, 10.883811116828102 59.919451102851966)"
543,['Ukjent'],['osl96'],JA,,,"LINESTRING (10.626646506495709 60.1039965156801, 10.626540259232613 60.10413280508922, 10.626515269262407 60.104140386788245, 10.62642736589827 60.10416715260906, 10.626256671257012 60.10429884523135, 10.626195443723002 60.10446170354686, 10.62592145023349 60.10470935156346, 10.625654873668948 60.10479731661505, 10.625534768997 60.1048022046436, 10.625450706937636 60.104793807148404, 10.625321828358507 60.10471554946602, 10.62488988529533 60.10396627530071, 10.624758522459983 60.103903225382176, 10.624269243384978 60.10393985640604, 10.623928918904467 60.10385979174916, 10.623644421119241 60.10371518687906, 10.623566945770754 60.1036760824177, 10.623469514452255 60.10367009293937, 10.62327482727515 60.103658021806815, 10.622207493383323 60.10383905278667, 10.621825068985396 60.10384652402479, 10.621288682642703 60.10394586932123, 10.620859752351354 60.104141788485)"
544,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.921693891997466 59.82813355384155, 10.921845106058681 59.82811365096046, 10.922396028365796 59.82795264031643, 10.922789716387733 59.82784332590732, 10.922951784257922 59.827826047558794, 10.923055468106798 59.82782965210682, 10.923218338942606 59.82783867895718, 10.923266548763728 59.82784246535231, 10.92334863543888 59.82784899010396)"
545,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.89107676347537 59.852270916178064, 10.891134699145596 59.85255247455888, 10.891141991073455 59.85273443268659, 10.891260881862657 59.85305185135235, 10.891284618148152 59.85321839385495, 10.891265225575694 59.8534743867653, 10.891368676976265 59.85376193779791, 10.891414390564767 59.85401995944012, 10.891410285056757 59.85481258008633, 10.891344875949923 59.85518267520876, 10.891240566113492 59.855590963141076, 10.891050403093951 59.8561194041755, 10.890707820931912 59.8568946102628, 10.890508256693884 59.857156962321326, 10.890304627417715 59.85731940407222, 10.89007105341702 59.85746709595797, 10.889995092301714 59.85755081961676, 10.889874778635729 59.85794496481824, 10.889859729235537 59.857956677625396, 10.88983010547826 59.85803569424136, 10.889825608364651 59.85804770468441)"
546,['Ukjent'],['osl'],JA,,,"LINESTRING (10.639626306427392 60.050460261472956, 10.639838616810245 60.050504329402465, 10.639952938018133 60.050528058145275, 10.64025805543472 60.05052418285158, 10.641056378515826 60.05032576297735, 10.641168181903526 60.05031323852483, 10.641824901598126 60.05023988152294, 10.64203815512693 60.050216127349785)"
547,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.881843839255247 59.91854212967554, 10.881824871388089 59.91841566746807, 10.882400592818763 59.918176526393786, 10.8824340308064 59.91816679769256, 10.88247138755602 59.918150456321484)"
548,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.86451546388471 59.900692992533756, 10.864605047035656 59.900696305768356, 10.864691399288317 59.9007121493063, 10.864765024495325 59.90071784385077, 10.864781332256864 59.90071851127097)"
549,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.865908801711173 59.8432542415061, 10.8661446796891 59.84329742363053, 10.866665856046536 59.84334832610994, 10.866892549357523 59.843383643318404, 10.867004008581816 59.84340424764512, 10.867096071080017 59.8434290790119, 10.867225600305384 59.84348867748114, 10.867370506463093 59.84357105119664, 10.867738167996906 59.84377448315164, 10.867912434075922 59.8438615593555, 10.868377991955336 59.84401222426094, 10.868504911162107 59.84404428430316, 10.868727784631256 59.84410049050266, 10.869126219905729 59.84417764621665, 10.869459260366844 59.844209023892205, 10.869696366394946 59.84421661421088, 10.869962987202692 59.8442157909913, 10.870260029438255 59.84420681062602, 10.870419668422198 59.84421118897246, 10.870542118844604 59.84422399960334, 10.870693727838638 59.84425067688411, 10.870853170307122 59.844283350316516, 10.870902555040168 59.8442950433845, 10.87110444021837 59.84434292133593, 10.871189624193073 59.844359584362145, 10.871287909436207 59.84436797742963, 10.871395763097375 59.84436240235037, 10.871509048773744 59.84434866629075, 10.871635715453337 59.84431893182573, 10.871742213231533 59.84428921456562, 10.871869021406543 59.84425247201748, 10.872152551590437 59.84419041715048, 10.872245149746222 59.84417383102174, 10.872363855475857 59.8441612745866, 10.87264777544823 59.84413478122278, 10.872865336404727 59.84409629752544, 10.873041739134123 59.84404959689559, 10.873213546481702 59.84400053631792, 10.87352979070594 59.843929929233255, 10.873833621396198 59.8438671326601, 10.87409051984096 59.843833116766795, 10.874264363220348 59.843820312501094, 10.874372032788141 59.84382102488143, 10.87448442177464 59.84382948418408, 10.87466012408201 59.84385608327383, 10.875097685696401 59.84397811199654, 10.875223563139912 59.84402643762184, 10.875376312977432 59.84408920035436, 10.875624069101692 59.84419722508769, 10.875770988310723 59.84424516056721, 10.875890081247803 59.84427121741924, 10.87615465952699 59.84431020040614, 10.876297279561037 59.84432613134242, 10.876373829449633 59.84434156682547, 10.876419136335741 59.84436005236449)"
550,['KyststiOslo'],['Kyststi_03_07'],JA,,,"LINESTRING (10.664481492261089 59.913572941660455, 10.664434901384412 59.913535449348814, 10.664357068322346 59.91348838225826, 10.664290404805186 59.91345006556415, 10.664236314706903 59.913423535189935, 10.664199542057712 59.91340352212867, 10.664166205962568 59.91338427398921)"
551,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.930200464353439 59.829133152157965, 10.930323582775925 59.82909946004289)"
552,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.872852405296976 59.9060250996655, 10.87281076381992 59.906196973840565, 10.872822847858737 59.9063797608961, 10.872826940615422 59.90662068376671)"
553,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.86469077051601 59.84745559697268, 10.864609940298878 59.84744344876891, 10.864435322103246 59.847417269910565, 10.86389383023373 59.847435087208396, 10.863659715440638 59.847414330427426, 10.863589409806552 59.84739565551183, 10.863375116448616 59.84727923066159, 10.863345951024645 59.84726203910889, 10.863299604970921 59.84724086926939, 10.863250778654024 59.847229614524956, 10.863125724092283 59.84722464808044, 10.863041136478989 59.84721551610245, 10.86294575049335 59.847188842691565, 10.862885886919072 59.8471366072569, 10.862704175408256 59.846970679528916, 10.86263927984273 59.846927407192666, 10.862244736054661 59.84688825957647)"
554,['Ukjent'],['osl18'],JA,,,"LINESTRING (10.806424215502386 60.03084415571526, 10.806935338489893 60.030343187019184, 10.807417413173292 60.02963603996061, 10.807804512059073 60.02908970112753, 10.807867161871249 60.029001184879526, 10.808513864425258 60.02835465092268, 10.807958442676115 60.02771549699878, 10.80777104969763 60.027242133349276, 10.807923910642709 60.026755042739595, 10.807747092976582 60.02614663274505, 10.808303309685678 60.0258156884442, 10.808617775849562 60.02565878895331, 10.80939785139942 60.02563786925214)"
555,['Ukjent'],['osl'],JA,,,"LINESTRING (10.7359357368668 59.97662860679212, 10.736193008053549 59.97687391663261, 10.736323474735386 59.97731210708662, 10.737356210400248 59.97870050723707, 10.737441438433992 59.97881533470861, 10.737683362793812 59.97898270604711, 10.738520781283977 59.97939901220982, 10.738705896887776 59.97949105785921, 10.738750974207672 59.97951336655136, 10.738897823454169 59.9795865162622, 10.739425991757507 59.980386262834124, 10.739768715516508 59.9814631014611, 10.739898186414518 59.98162153260104, 10.739977671823215 59.98171883076549, 10.740418899024924 59.982028978323086)"
556,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.856631230352953 59.88050904338566, 10.856801110973464 59.880552994899624, 10.85691385880354 59.88058176401484, 10.857047296571393 59.88061625915274)"
557,['Ukjent'],['osl120'],JA,,,"LINESTRING (10.899006002338819 59.87148349046348, 10.899066859498676 59.871657849562276)"
558,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.89763599422933 59.83050505413877, 10.897616315794806 59.83052608616051, 10.89742874868396 59.8306569628525, 10.897272137120462 59.83073610615341, 10.896971356541489 59.83082145918646, 10.89676463764646 59.83086036654072, 10.896349016922272 59.83092491846311, 10.895990409725048 59.83095981567594, 10.895563521331129 59.83098940809529, 10.89547330321672 59.830990527926765, 10.895002328594012 59.831019855304206, 10.894913818035349 59.83104160858832, 10.894824416544488 59.83107280565977, 10.89476016271906 59.831113251257236, 10.894717815033237 59.83112787276666, 10.894601841777154 59.83120014035923, 10.894263755888154 59.83143934556659, 10.894230143650264 59.831463272192266)"
559,['Ukjent'],['osl'],JA,,,"LINESTRING (10.639626306427392 60.050460261472956, 10.638983573519251 60.050899231614785, 10.638763594715112 60.05117147957264, 10.638765918729401 60.051609635391664)"
560,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.901526829494246 59.82750766384672, 10.901308964596824 59.82757593098918, 10.9011682853941 59.82760553811031, 10.901056454868261 59.82766239270054, 10.900929497003897 59.82773868707758, 10.900829316826032 59.827809025721265, 10.900765916701365 59.82784856387323, 10.900581384058338 59.82787880378161, 10.900434394513157 59.82789475886722, 10.900255070348097 59.82791935428806, 10.900110341943513 59.827959347958945)"
561,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.903766435023549 59.826002780449976, 10.903848925460213 59.82603841297663, 10.904428057483772 59.8261644026132, 10.905270854365359 59.82625271037986, 10.906097247388024 59.826356699376255, 10.907055389291276 59.82619694973094)"
562,['Ukjent'],['osl17'],JA,,,"LINESTRING (10.795332147595332 60.05232115956872, 10.795257000402293 60.05236286587636, 10.794674819056322 60.05268592822818, 10.794493489535462 60.052786646340834, 10.793652854412544 60.05285203316649, 10.792955484455222 60.05290631057174, 10.791752826984196 60.05325492816926, 10.79011220957428 60.053851783637725, 10.789749511684386 60.05398360147227, 10.78972714433767 60.05399180790744, 10.788853022848857 60.05443483526112, 10.788630337548309 60.054585053188234, 10.78815982294941 60.05490226388193, 10.78791001670949 60.05559720877082, 10.78752239914856 60.055737081205926, 10.787404081071886 60.05574478827403, 10.786474528537976 60.05580513360827)"
563,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.88247138755602 59.918150456321484, 10.882473379665063 59.918109830204635, 10.882456803487475 59.91806668487866, 10.882406076769184 59.91798594442004, 10.882350886700786 59.917886405924285, 10.882285163071042 59.91781881332789, 10.882218476552655 59.91778159288281, 10.882156704348144 59.9177395418966, 10.882295619546149 59.917674955459695, 10.882397832949758 59.91764143101493, 10.882489779953838 59.917612993073234, 10.88259836078114 59.91758135353662, 10.882670474063035 59.9175659528384, 10.882736982883335 59.91755898520293)"
564,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.913394065842672 59.92905635980345, 10.913370401498142 59.92907736145447, 10.912982585128022 59.92927879276652, 10.91298941388393 59.92930725598143, 10.91299522559556 59.92932738083001, 10.912990187136502 59.929333112493325, 10.912968410644382 59.92935893687768)"
565,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.913674574415378 59.83598084289679, 10.913694457425255 59.83594794925234, 10.914022195738838 59.83556118030303, 10.91407269791151 59.83547727281401, 10.914067334648356 59.835144479066926, 10.913935243727868 59.83472406790657, 10.913796767218122 59.8344877001994, 10.913795806385542 59.83445852277327, 10.913630736524162 59.83419092508337, 10.913435400493327 59.8339151445571, 10.913414436024356 59.833870090418415, 10.913325114424984 59.83351067317448, 10.913331911787683 59.833464317213334, 10.913349860804201 59.83341950569715, 10.913391836486763 59.83331452494577)"
566,['Blåmerket sti Østmarka'],['F_20170614_01'],JA,,,"LINESTRING (10.898327827538768 59.923658782586614, 10.898331942674652 59.92362746660362, 10.898387199224855 59.92353613424959, 10.89854265183108 59.923363420889345, 10.898712714301737 59.92322723257469, 10.898811007343387 59.9231376155068, 10.898913185809457 59.92302207475137, 10.899033709488606 59.92292387404032, 10.899125258106409 59.922832108407185, 10.899237813441001 59.92277920084447, 10.89943491737439 59.92275309841533, 10.899729868591141 59.922726663648604, 10.899952236190817 59.92270747168698, 10.900190066416894 59.922658326648566, 10.900375122807123 59.922606169503275, 10.900587741937795 59.92254481256873, 10.900641376805643 59.92252535717346, 10.900702554830504 59.92250327809775, 10.900780825927422 59.92243909724425, 10.900805733007033 59.922377212633, 10.90082642426887 59.922326077172585, 10.90084407715477 59.92219055633275, 10.900834681896152 59.92206072474055, 10.900806930554873 59.92193214579806, 10.900814347922205 59.92184913658353, 10.900853324600517 59.92174860687664, 10.900885062860604 59.92162788258704, 10.900947903011218 59.921481650536386, 10.900967463496267 59.92132319848553, 10.901023804409265 59.92118846701942, 10.901028420183362 59.921081516689696, 10.900999912025899 59.92101788731351, 10.900880337188745 59.9209479364425, 10.900769473041018 59.920867620595104, 10.90069766579702 59.92078826849028, 10.90064799124745 59.92069862743993, 10.900604356433142 59.920564439246604, 10.900611395071959 59.92035281569204, 10.900579843341458 59.9201421077409, 10.900562663684825 59.91996685045376, 10.900561076483598 59.91977331489889, 10.900562333500403 59.919613869291034, 10.900583618777226 59.91942925527166, 10.900627360129347 59.91922752147163, 10.900617394349554 59.91907829729774, 10.900667401083433 59.91896422563338, 10.900683573272513 59.91886851560372, 10.900656542476685 59.91876498552656, 10.900663643861286 59.91866707099653, 10.900629537784228 59.91855555927176, 10.900668487490297 59.918460868122466, 10.900718690323478 59.91837526599943, 10.900666200336104 59.918267612070544, 10.900700032206824 59.918136618269195, 10.90066069469386 59.91805248674529, 10.900734766860609 59.91789630253273, 10.900750333387245 59.91788071915676, 10.9006972468627 59.91780954008207, 10.900682751687334 59.91775001988282, 10.900807259643567 59.91750921810521, 10.90079745246307 59.91748474928911, 10.900752986746587 59.91744856490517, 10.900753547096436 59.91740831821182, 10.900805246402639 59.91736454979447, 10.900816700964725 59.9173114816315, 10.90085720826233 59.91724092906586, 10.900969741120146 59.91718487645834, 10.90102129048067 59.9170853329185, 10.901086650462137 59.917061486694884, 10.90120082081436 59.91700280553251, 10.90124417718585 59.91690077532043, 10.901190172894582 59.9167478749739, 10.901032331238344 59.91653404831101, 10.900912346279938 59.9161939298907, 10.900778912655017 59.916100287211634, 10.90056129382025 59.91601405562808, 10.900538667451196 59.916000010904035, 10.900469382103998 59.91589574268756, 10.900317260326906 59.915800572615126, 10.90029299226293 59.915776581680795, 10.900261043899583 59.91567770313911, 10.90021087221456 59.91552914827902, 10.900249419506048 59.915389913093, 10.900178938462652 59.915198987267765, 10.900125917429847 59.915122597581544, 10.89994363286277 59.91495654612072, 10.899741029518236 59.914722884581586, 10.899633353311122 59.91463533652525, 10.899511473762649 59.91447452165339, 10.899502803141775 59.91445425783279, 10.899520264857001 59.91438421736166, 10.8993604074144 59.914084641371666, 10.899349214164477 59.91391693217478, 10.899312072550547 59.91377717108669, 10.899314207472047 59.91375818865529, 10.89941198437698 59.91361935772322, 10.89941000446735 59.91350019730555, 10.899333758852782 59.91333656908736, 10.899271396914836 59.9132750438856, 10.89917698099595 59.91318155606122, 10.899107285740126 59.91313567501593, 10.899064027552107 59.91312049020939, 10.899026926317562 59.91310036649791, 10.898925253718458 59.913064556603025, 10.898440426240061 59.912946782394236, 10.898309976906578 59.912889380989355, 10.898155891439758 59.91280645214574, 10.898138165981251 59.91279673755837, 10.89792125729193 59.91269737814864, 10.897886928908093 59.91267254364924, 10.89782482881243 59.91264999517479, 10.8975321181408 59.912504212600695, 10.897321665018653 59.912392544015006, 10.897258239155379 59.91234675142295, 10.897224463133751 59.91232217826253)"
567,['Ljanselva-langs'],['F_20181024_01'],JA,,"Geometri hentet fra TraktorvegSti, 20190515","LINESTRING (10.774308742777942 59.841528631769854, 10.774379875343499 59.84151375144599)"
568,['Maerradalsbekken-langs'],['F_20181026_01'],JA,,"Geometri hentet fra TraktorvegSti, 20190516","LINESTRING (10.644820756885007 59.96109373523171, 10.6449933641252 59.9609842587093)"
569,['Alna-langs'],['F_20181026_01'],JA,,,"LINESTRING (10.881018963113345 59.971207788851466, 10.881058738169099 59.97107824446894, 10.880950946934641 59.97080152723753, 10.88108379746378 59.970496590528725, 10.881266625059503 59.97016938509471, 10.881494060135536 59.96986741074236, 10.8813476104182 59.969708276755455, 10.881188356591109 59.969465525697125, 10.88086477795721 59.969395948904655, 10.880308314927767 59.96929528977185, 10.87971169215084 59.96913403487241, 10.879336633853677 59.96890836690182, 10.879110755726547 59.968627761266056, 10.878856764170713 59.968382135141475, 10.878838986546688 59.968333976808665, 10.878936324536467 59.96812304751299, 10.878904629022424 59.967807072967204, 10.879461914241551 59.967521242767965, 10.879900184036885 59.96723773436041, 10.880251441861311 59.966892143114, 10.880220324118612 59.96676037557449, 10.880075516213786 59.96639912820007, 10.879896859553837 59.966120186368556, 10.879879233099645 59.965881882986565, 10.880065006236048 59.96553101499355, 10.880118082678454 59.96529484784993, 10.880115095665733 59.96512836928659, 10.880264049308401 59.96488338112571, 10.88015923877262 59.96458290904671, 10.880168078755093 59.96432168440533, 10.880086774902194 59.964021865316525, 10.880278665322265 59.96381389869982, 10.880205911947469 59.963633324935984, 10.880083687495498 59.963284689430026, 10.879773449396344 59.962918343902494, 10.879708451850634 59.9626785596531, 10.879761705639218 59.96244239001539, 10.879650786456818 59.96199910533757, 10.879374627786207 59.96174077271124, 10.879191562518933 59.96149728082773, 10.879043863721622 59.96135001822222, 10.878639300325935 59.961171024961935, 10.878130169994657 59.961071749763754, 10.877814259998157 59.96094304718204, 10.87761641276548 59.96081787324019, 10.877330107250971 59.96064249239043, 10.876924079134652 59.96047528091497, 10.876656835175332 59.960145950288585, 10.8765755790334 59.95984621840121, 10.876612569244985 59.959550193719465, 10.876475065122227 59.959319971933354, 10.876111423182405 59.95910060022279, 10.87604941545234 59.958932086703335)"
570,['Alna-langs'],['F_20181026_01'],JA,,,"LINESTRING (10.87604941545234 59.958932086703335, 10.876131213622623 59.958845597254786, 10.876206232366878 59.95875641982271, 10.876354440603114 59.95859641353986)"
571,['Alna-langs'],['F_20181026_01'],JA,,,"LINESTRING (10.882723822670547 59.972123055963216, 10.882734873135004 59.972093617911106, 10.882792556835204 59.97182199611584, 10.882632923955875 59.97157925208198, 10.882333146741912 59.97132018412748, 10.882262199002339 59.97112772979537, 10.881688011798065 59.97135947293277, 10.881018963113345 59.971207788851466)"
572,['Alna-langs'],['F_20181026_02'],JA,,,"LINESTRING (10.858262003074387 59.93850248537101, 10.8582736789027 59.938404061072845, 10.858287359490081 59.938293483230446, 10.85832401859009 59.93814252322868, 10.858399640075348 59.93788817372975, 10.858442528598108 59.93776218484128, 10.858285691003072 59.937742299841744)"
573,['Smestad - Bestumkilen'],['A5'],JA,,"Geometri hentet fra TraktorvegSti, 20180604","LINESTRING (10.680603626676767 59.93669567265812, 10.680741984700159 59.936741779743, 10.680817204941118 59.93676749553048, 10.680962648325165 59.93681566759737, 10.681115031528407 59.93686303254813, 10.681260118028526 59.936911208842396, 10.681380200484428 59.93694982434085, 10.681564404523403 59.937007021768714, 10.681664022895674 59.93703736571257, 10.68176687307432 59.93707144050855, 10.681896385029013 59.93711245006507, 10.682029694417293 59.9371542193823, 10.682157483557367 59.93719300533989, 10.682231514497794 59.93721640037382, 10.682291540889697 59.937235393547375, 10.68249222355671 59.93729983397447, 10.682576677794401 59.937327586489516, 10.68267168082426 59.93735511455753, 10.682750623780786 59.93738006326778, 10.682784219170449 59.93738960385014, 10.682835433115546 59.93740421857908, 10.682842527220714 59.93740646319541, 10.682902132889954 59.937424204085765, 10.682927207853139 59.93743160803139)"
574,['Hovinbekken-langs'],['F_20181026_03'],JA,,"Geometri hentet fra Vbase, 20190426","LINESTRING (10.821516128700194 59.95012013508027, 10.821579081302527 59.95007633381185, 10.821587023915828 59.95002529850718)"
575,['Hovinbekken-langs'],['F_20181026_05'],JA,,"Geometri hentet fra TraktorvegSti, 20190426","LINESTRING (10.775116263983822 59.9079873059532, 10.775237415751546 59.907992230824306, 10.775389252090665 59.90800581363192, 10.775458819568323 59.90800586455, 10.775691911480491 59.907983863395295, 10.775917692866525 59.907968965919096)"
576,['Hovinbekken-langs'],['F_20181026_02'],JA,,"Geometri hentet fra Vbase, 20190426","LINESTRING (10.814228064183304 59.96786026654077, 10.814126996775439 59.967918778613345, 10.813981957816654 59.968015168473485, 10.813832319713878 59.96817161813951, 10.813654847716364 59.968382608897166, 10.813520189396016 59.96858699340876, 10.813424347678582 59.96876407936021, 10.81330296035635 59.969034295634, 10.81330684160824 59.969315005508875, 10.813301277383001 59.969544201255296, 10.813331434759414 59.96973204012941, 10.813434565481337 59.96990118263396, 10.813593578841777 59.970043780080246, 10.813857859939324 59.97025363941147, 10.814095929656663 59.97041661559346)"
577,['Hovinbekken-langs'],['F_20181026_05'],JA,,"Geometri hentet fra TraktorvegSti, 20190426","LINESTRING (10.778214051033023 59.90653131742247, 10.778233187094411 59.906541388023015, 10.77826798509713 59.90656678538097, 10.778306953324046 59.906599940405826, 10.778305892298777 59.906610193676954)"
578,['Hovinbekken-langs'],['F_20181026_03'],JA,,"Geometri hentet fra TraktorvegSti, 20190426","LINESTRING (10.821331146644614 59.93981450886788, 10.821397319520656 59.93985913178397, 10.82153624292756 59.939950801527154, 10.821572441774432 59.939974372286734, 10.821610846180743 59.93999899036752, 10.821675291810921 59.94004148142024, 10.821774635417926 59.94010666295656, 10.821889852903102 59.94017405018213, 10.822008748331408 59.940239949445406, 10.82208322822656 59.940289127709626, 10.82225250269858 59.940382533012325)"
579,['Hovinbekken-langs'],['F_20181026_03'],JA,,"Geometri hentet fra TraktorvegSti, 20190426","LINESTRING (10.822346849347033 59.95147476236392, 10.822313762516433 59.951442885680706, 10.822219066194918 59.95135536578902, 10.82214001818218 59.95128541324809, 10.82203133961579 59.95118129077669, 10.821926353834113 59.95108897292222, 10.821844366985575 59.95101439037259, 10.82174593186094 59.95091416793148, 10.821680902787213 59.9508320760188, 10.82162866956474 59.95073516738992, 10.82159824753112 59.950634364930494, 10.821585230946125 59.950553800155994, 10.821570160582462 59.950445600435344, 10.821560198717872 59.950339126491926, 10.821554138770564 59.95023196995721, 10.821542483291491 59.95015336233244, 10.821516128700194 59.95012013508027)"
580,['Hovinbekken-langs'],['F_20181026_03'],JA,,"Geometri hentet fra TraktorvegSti, 20190426","LINESTRING (10.818665573057837 59.943722539003396, 10.818710505198545 59.94374536142877, 10.81879437249859 59.943773035924714, 10.818890555688643 59.94379676826723, 10.819026947968078 59.94382246088025, 10.81909211907218 59.943829106645666, 10.819078745040612 59.943901952184774, 10.819077140485476 59.94391841063029)"
581,"['Hovinbekken-langs', 'Hovinbekken-langs']","['F_20181026_02', 'F_20181026_01']",JA,,"Geometri hentet fra Vbase, 20190426","LINESTRING (10.814095929656663 59.97041661559346, 10.81411027782179 59.9704365370331, 10.81411265299701 59.97046030548832)"
582,['Hovinbekken-langs'],['F_20181026_03'],JA,,"Geometri hentet fra TraktorvegSti, 20190426","LINESTRING (10.819206104370425 59.947072314471605, 10.819204022638862 59.94705393092089, 10.819203135471147 59.94704100966581, 10.819201085096354 59.94701993120545, 10.819199838275276 59.94701024828291)"
583,"['Hovinbekken-langs', 'Hovinbekken-langs']","['F_20181026_01', 'F_20181026_02']",JA,,"Geometri hentet fra TraktorvegSti, 20190426","LINESTRING (10.814427129797444 59.970464245321644, 10.814446194628955 59.970488502839096)"
584,['Hovinbekken-langs'],['F_20181026_01'],JA,,"Geometri hentet fra Vbase, 20190426","LINESTRING (10.820338297695875 59.964164903727045, 10.820169487084193 59.96422246903024, 10.819832191571816 59.96436642532082, 10.819710636965631 59.96442010493136, 10.819503639056132 59.96448367472002, 10.819441426841415 59.96449252612162, 10.819354341029767 59.9645149233465, 10.819178020780798 59.9645336108766, 10.819067524876228 59.96455704916696, 10.818961057349235 59.96460495151535, 10.818911368160224 59.96464290995137, 10.818821711519098 59.964742583735514, 10.818747326867273 59.96482022175445, 10.818658626903407 59.96494062965047, 10.818618041455826 59.96497801341955, 10.818369563158434 59.965170589432084, 10.818259882180415 59.96525796453689, 10.818179806769336 59.96531026279043, 10.818017140126363 59.96540492426745, 10.817869484377017 59.96548258322076)"
